Run_accession,Group
CRR537225,animal
CRR537226,animal
CRR537227,animal
CRR537228,animal
CRR537229,animal
CRR537230,animal
CRR537231,animal
CRR537232,animal
CRR537233,animal
CRR537234,animal
CRR537235,animal
CRR537236,animal
CRR537237,animal
CRR537238,animal
CRR537239,animal
CRR537240,animal
CRR537241,animal
CRR537242,animal
CRR537243,animal
CRR537244,animal
CRR537245,animal
CRR537246,animal
CRR537247,animal
CRR537248,animal
CRR537249,animal
CRR537250,animal
CRR537251,animal
CRR537252,animal
CRR537253,animal
CRR537254,animal
CRR537255,animal
CRR537256,animal
CRR537257,animal
CRR537258,animal
CRR537259,animal
CRR537260,animal
CRR537261,animal
CRR537262,animal
CRR537263,animal
CRR537264,animal
CRR537265,animal
CRR537266,animal
CRR537267,animal
CRR537268,animal
CRR537269,animal
CRR537270,animal
CRR537271,animal
CRR537272,animal
CRR537273,animal
CRR537274,animal
CRR537275,animal
CRR537276,animal
CRR537277,animal
CRR537278,animal
CRR537279,animal
CRR537280,animal
CRR537281,animal
CRR537282,animal
CRR537283,animal
CRR537284,animal
CRR537285,animal
CRR537286,animal
CRR537287,animal
CRR537288,animal
CRR537289,animal
CRR537290,animal
CRR537291,animal
CRR537292,animal
CRR537293,animal
CRR537294,animal
CRR537295,animal
CRR537296,animal
CRR537297,animal
CRR537298,animal
CRR537299,animal
CRR537300,animal
CRR537301,animal
CRR537302,animal
CRR537303,animal
CRR537304,animal
CRR537305,animal
CRR537306,animal
CRR537307,animal
CRR537308,animal
CRR537309,animal
CRR537310,animal
CRR537311,animal
CRR537312,animal
CRR537313,animal
CRR537314,animal
CRR537315,animal
CRR537316,animal
CRR537317,animal
CRR537318,animal
CRR537319,animal
CRR537320,animal
CRR537321,animal
CRR537322,animal
CRR537323,animal
CRR537324,animal
CRR537325,animal
CRR537326,animal
CRR537327,animal
CRR537328,animal
CRR537329,animal
CRR537330,animal
CRR537331,animal
CRR537332,animal
CRR537333,animal
CRR537334,animal
CRR537335,animal
CRR537336,animal
CRR537337,animal
CRR537338,animal
CRR537339,animal
CRR537340,animal
CRR537341,animal
CRR537342,animal
CRR537343,animal
CRR537344,animal
CRR537345,animal
CRR537346,animal
CRR537347,animal
CRR537348,animal
CRR537349,animal
CRR537350,animal
CRR537351,animal
CRR537352,animal
CRR537353,animal
CRR537354,animal
CRR537355,animal
CRR537356,animal
CRR537357,animal
CRR537358,animal
CRR537359,animal
CRR537360,animal
CRR537361,animal
CRR537362,animal
CRR537363,animal
CRR537364,animal
CRR537365,animal
CRR537366,animal
CRR537367,animal
CRR537368,animal
CRR537369,animal
CRR537370,animal
CRR537371,animal
CRR537372,animal
CRR537373,animal
CRR537374,animal
CRR537375,animal
CRR537376,animal
CRR537377,animal
CRR537378,animal
CRR537379,animal
CRR537380,animal
CRR537381,animal
CRR537382,animal
CRR537383,animal
CRR537384,animal
CRR537385,animal
CRR537386,animal
CRR537387,animal
CRR537388,animal
CRR537389,animal
CRR537390,animal
CRR537391,animal
CRR537392,animal
CRR537393,animal
CRR537394,animal
CRR537395,animal
CRR537396,animal
CRR537397,animal
CRR537398,animal
CRR537399,animal
CRR537400,animal
CRR537401,animal
CRR537402,animal
CRR537403,animal
CRR537404,animal
CRR537405,animal
CRR537406,animal
CRR537407,animal
CRR537408,animal
CRR537409,animal
CRR537410,animal
CRR537411,animal
CRR537412,animal
CRR537413,animal
CRR537414,animal
CRR537415,animal
CRR537416,animal
CRR537417,animal
CRR537418,animal
CRR537419,animal
CRR537420,animal
CRR537421,animal
CRR537422,animal
CRR537423,animal
CRR537424,animal
CRR537425,animal
CRR537426,animal
CRR537427,animal
CRR537428,animal
CRR537429,animal
CRR537430,animal
CRR537431,animal
CRR537432,animal
CRR537433,animal
CRR537434,animal
CRR537435,animal
CRR537436,animal
CRR537437,animal
CRR537438,animal
CRR537439,animal
CRR537440,animal
CRR537441,animal
CRR537442,animal
CRR537443,animal
CRR537444,animal
CRR537445,animal
CRR537446,animal
CRR537447,animal
CRR537448,animal
CRR537449,animal
CRR537450,animal
CRR537451,animal
CRR537452,animal
CRR537453,animal
CRR537454,animal
CRR537455,animal
CRR537456,animal
CRR537457,animal
CRR537458,animal
CRR537459,animal
CRR537460,animal
CRR537461,animal
CRR537462,animal
CRR537463,animal
CRR537464,animal
CRR537465,animal
CRR537466,animal
CRR537467,animal
CRR537468,animal
CRR537469,animal
CRR537470,animal
CRR537471,animal
CRR537472,animal
CRR537473,animal
CRR537474,animal
CRR537475,animal
CRR537476,animal
CRR537477,animal
CRR537478,animal
CRR537479,animal
CRR537480,animal
CRR537481,animal
CRR537482,animal
CRR537483,animal
CRR537484,animal
CRR537485,animal
CRR537486,animal
CRR537487,animal
CRR537488,animal
CRR537489,animal
CRR537490,animal
CRR537491,animal
CRR537492,animal
CRR537493,animal
CRR537494,animal
CRR537495,animal
CRR537496,animal
CRR537497,animal
CRR537498,animal
CRR537499,animal
CRR537500,animal
CRR537501,animal
CRR537502,animal
CRR537503,animal
CRR537504,animal
CRR537505,animal
CRR537506,animal
CRR537507,animal
CRR537508,animal
CRR537509,animal
CRR537510,animal
CRR537511,animal
CRR537512,animal
CRR537513,animal
CRR537514,animal
CRR537515,animal
CRR537516,animal
CRR537517,animal
CRR537518,animal
CRR537519,animal
CRR537520,animal
CRR537521,animal
CRR537522,animal
CRR537523,animal
CRR537524,animal
CRR537525,animal
CRR537526,animal
CRR537527,animal
CRR537528,animal
CRR537529,animal
CRR537530,animal
CRR537531,animal
CRR537532,animal
CRR537533,animal
CRR537534,animal
CRR537535,animal
CRR537536,animal
CRR537537,animal
CRR537538,animal
CRR537539,animal
CRR537540,animal
CRR537541,animal
CRR537542,animal
CRR537543,animal
CRR537544,animal
CRR537545,animal
CRR537546,animal
CRR537547,animal
CRR537548,animal
CRR537549,animal
CRR537550,animal
CRR537551,animal
CRR537552,animal
CRR537553,animal
CRR537554,animal
CRR537555,animal
CRR537556,animal
CRR537557,animal
CRR537558,animal
CRR537559,animal
CRR537560,animal
CRR537561,animal
CRR537562,animal
CRR537563,animal
CRR537564,animal
CRR537565,animal
CRR537566,animal
CRR537567,animal
CRR537568,animal
CRR537569,animal
CRR537570,animal
CRR537571,animal
CRR537572,animal
CRR537573,animal
CRR537574,animal
CRR537575,animal
CRR537576,animal
CRR537577,animal
CRR537578,animal
CRR537579,animal
CRR537580,animal
CRR537581,animal
CRR537582,animal
CRR537583,animal
CRR537584,animal
CRR537585,animal
CRR537586,animal
CRR537587,animal
CRR537588,animal
CRR537589,animal
CRR537590,animal
CRR537591,animal
CRR537592,animal
CRR537593,animal
CRR537594,animal
CRR537595,animal
CRR537596,animal
CRR537597,animal
CRR537598,animal
CRR537599,animal
CRR537600,animal
CRR537601,animal
CRR537602,animal
CRR537603,animal
CRR537604,animal
CRR537605,animal
CRR537606,animal
CRR537607,animal
CRR537608,animal
CRR537609,animal
CRR537610,animal
CRR537611,animal
CRR537612,animal
CRR537613,animal
CRR537614,animal
CRR537615,animal
CRR537616,animal
CRR537617,animal
CRR537618,animal
CRR537619,animal
CRR537620,animal
CRR537621,animal
CRR537622,animal
CRR537623,animal
CRR537624,animal
CRR537625,animal
CRR537626,animal
CRR537627,animal
CRR537628,animal
CRR537629,animal
CRR537630,animal
CRR537631,animal
CRR537632,animal
CRR537633,animal
CRR537634,animal
CRR537635,animal
CRR537636,animal
CRR537637,animal
CRR537638,animal
CRR537639,animal
CRR537640,animal
CRR537641,animal
CRR537642,animal
CRR537643,animal
CRR537644,animal
CRR537645,animal
CRR537646,animal
CRR537647,animal
CRR537648,animal
CRR537649,animal
CRR537650,animal
CRR537651,animal
CRR537652,animal
CRR537653,animal
CRR537654,animal
CRR537655,animal
CRR537656,animal
CRR537657,animal
CRR537658,animal
CRR537659,animal
CRR537660,animal
CRR537661,animal
CRR537662,animal
CRR537663,animal
CRR537664,animal
CRR537665,animal
CRR537666,animal
CRR537667,animal
CRR537668,animal
CRR537669,animal
CRR537670,animal
CRR537671,animal
CRR537672,animal
CRR537673,animal
CRR537674,animal
CRR537675,animal
CRR537676,animal
CRR537677,animal
CRR537678,animal
CRR537679,animal
CRR537680,animal
CRR537681,animal
CRR537682,animal
CRR537683,animal
CRR537684,animal
CRR537685,animal
CRR537686,animal
CRR537687,animal
CRR537688,animal
CRR537689,animal
CRR537690,animal
CRR537691,animal
CRR537692,animal
CRR537693,animal
CRR537694,animal
CRR537695,animal
CRR537696,animal
CRR537697,animal
CRR537698,animal
CRR537699,animal
CRR537700,animal
CRR537701,animal
CRR537702,animal
CRR537703,animal
CRR537704,animal
CRR537705,animal
CRR537706,animal
CRR537707,animal
CRR537708,animal
CRR537709,animal
CRR537710,animal
CRR537711,animal
CRR537712,animal
CRR537713,animal
CRR537714,animal
CRR537715,animal
CRR537716,animal
CRR537717,animal
CRR537718,animal
CRR537719,animal
CRR537720,animal
CRR537721,animal
CRR537722,animal
CRR537723,animal
CRR537724,animal
CRR537725,animal
CRR537726,animal
CRR537727,animal
CRR537728,animal
CRR537729,animal
CRR537730,animal
CRR537731,animal
CRR537732,animal
CRR537733,animal
CRR537734,animal
CRR537735,animal
CRR537736,animal
CRR537737,animal
CRR537738,animal
CRR537739,animal
CRR537740,animal
CRR537741,animal
CRR537742,animal
CRR537743,animal
CRR537744,animal
CRR537745,animal
CRR537746,animal
CRR537747,animal
CRR537748,animal
CRR537749,animal
CRR537750,animal
CRR537751,animal
CRR537752,animal
CRR537753,animal
CRR537754,animal
CRR537755,animal
CRR537756,animal
CRR537757,animal
CRR537758,animal
CRR537759,animal
CRR537760,animal
CRR537761,animal
CRR537762,animal
CRR537763,animal
CRR537764,animal
CRR537765,animal
CRR537766,animal
CRR537767,animal
CRR537768,animal
CRR537769,animal
CRR537770,animal
CRR537771,animal
CRR537772,animal
CRR537773,animal
CRR537774,animal
CRR537775,animal
CRR537776,animal
CRR537777,animal
CRR537778,animal
CRR537779,animal
CRR537780,animal
CRR537781,animal
CRR537782,animal
CRR537783,animal
CRR537784,animal
CRR537785,animal
CRR537786,animal
CRR537787,animal
CRR537788,animal
CRR537789,animal
CRR537790,animal
CRR537791,animal
CRR537792,animal
CRR537793,animal
CRR537794,animal
CRR537795,animal
CRR537796,animal
CRR537797,animal
CRR537798,animal
CRR537799,animal
CRR537800,animal
CRR537801,animal
CRR537802,animal
CRR537803,animal
CRR537804,animal
CRR537805,animal
CRR537806,animal
CRR537807,animal
CRR537808,animal
CRR537809,animal
CRR537810,animal
CRR537811,animal
CRR537812,animal
CRR537813,animal
CRR537814,animal
CRR537815,animal
CRR537816,animal
CRR537817,animal
CRR537818,animal
CRR537819,animal
CRR537820,animal
CRR537821,animal
CRR537822,animal
CRR537823,animal
CRR537824,animal
CRR537825,animal
CRR537826,animal
CRR537827,animal
CRR537828,animal
CRR537829,animal
CRR537830,animal
CRR537831,animal
CRR537832,animal
CRR537833,animal
CRR537834,animal
CRR537835,animal
CRR537836,animal
CRR537837,animal
CRR537838,animal
CRR537839,animal
CRR537840,animal
CRR537841,animal
CRR537842,animal
CRR537843,animal
CRR537844,animal
CRR537845,animal
CRR537846,animal
CRR537847,animal
CRR537848,animal
CRR537849,animal
CRR537850,animal
CRR537851,animal
CRR537852,animal
CRR537853,animal
CRR537854,animal
CRR537855,animal
CRR537856,animal
CRR537857,animal
CRR537858,animal
CRR537859,animal
CRR537860,animal
CRR537861,animal
CRR537862,animal
CRR537863,animal
CRR537864,animal
CRR537865,animal
CRR537866,animal
CRR537867,animal
CRR537868,animal
CRR537869,animal
CRR537870,animal
CRR537871,animal
CRR537872,animal
CRR537873,animal
CRR537874,animal
CRR537875,animal
CRR537876,animal
CRR537877,animal
CRR537878,animal
CRR537879,animal
CRR537880,animal
CRR537881,animal
CRR537882,animal
CRR537883,animal
CRR537884,animal
CRR537885,animal
CRR537886,animal
CRR537887,animal
CRR537888,animal
CRR537889,animal
CRR537890,animal
CRR537891,animal
CRR537892,animal
CRR537893,animal
CRR537894,animal
CRR537895,animal
CRR537896,animal
CRR537897,animal
CRR537898,animal
CRR537899,animal
CRR537900,animal
CRR537901,animal
CRR537902,animal
CRR537903,animal
CRR537904,animal
CRR537905,animal
CRR537906,animal
CRR537907,animal
CRR537908,animal
CRR537909,animal
CRR537910,animal
CRR537911,animal
CRR537912,animal
CRR537913,animal
CRR537914,animal
CRR537915,animal
CRR537916,animal
CRR537917,animal
CRR537918,animal
CRR537919,animal
CRR537920,animal
CRR537921,animal
CRR537922,animal
CRR537923,animal
CRR537924,animal
CRR537925,animal
CRR537926,animal
CRR537927,animal
CRR537928,animal
CRR537929,animal
CRR537930,animal
CRR537931,animal
CRR537932,animal
CRR537933,animal
CRR537934,animal
CRR537935,animal
CRR537936,animal
CRR537937,animal
CRR537938,animal
CRR537939,animal
CRR537940,animal
CRR537941,animal
CRR537942,animal
CRR537943,animal
CRR537944,animal
CRR537945,animal
CRR537946,animal
CRR537947,animal
CRR537948,animal
CRR537949,animal
CRR537950,animal
CRR537951,animal
CRR537952,animal
CRR537953,animal
CRR537954,animal
CRR537955,animal
CRR537956,animal
CRR537957,animal
CRR537958,animal
CRR537959,animal
CRR537960,animal
CRR537961,animal
CRR537962,animal
CRR537963,animal
CRR537964,animal
CRR537965,animal
CRR537966,animal
CRR537967,animal
CRR537968,animal
CRR537969,animal
CRR656999,animal
CRR657000,animal
CRR657001,animal
CRR657434,animal
CRR657435,animal
CRR657436,animal
CRR657437,animal
CRR657438,animal
CRR657439,animal
CRR657440,animal
CRR657441,animal
CRR657442,animal
CRR657443,animal
CRR657444,animal
CRR657445,animal
CRR657446,animal
CRR657447,animal
CRR657448,animal
CRR657449,animal
CRR657450,animal
CRR657451,animal
CRR657452,animal
CRR657453,animal
CRR657454,animal
CRR657455,animal
CRR657456,animal
CRR657457,animal
CRR657458,animal
CRR657459,animal
CRR657460,animal
CRR657461,animal
CRR657462,animal
CRR657463,animal
CRR657465,animal
CRR657466,animal
CRR657467,animal
CRR657468,animal
CRR657469,animal
CRR657470,animal
CRR657471,animal
CRR657472,animal
CRR657473,animal
CRR657474,animal
CRR657475,animal
CRR657476,animal
CRR657477,animal
CRR657478,animal
ERR2027889,animal
ERR2027890,animal
ERR2027891,animal
ERR2027892,animal
ERR2027893,animal
ERR2027894,animal
ERR2027895,animal
ERR2027896,animal
ERR2027897,animal
ERR2027898,animal
ERR2027899,animal
ERR2027900,animal
ERR2027901,animal
ERR2027902,animal
ERR2027903,animal
ERR2027904,animal
ERR2027905,animal
ERR2027906,animal
ERR2027907,animal
ERR2027908,animal
ERR2027909,animal
ERR2027910,animal
ERR2027911,animal
ERR2027912,animal
ERR2027913,animal
ERR2027914,animal
ERR2027915,animal
ERR2027916,animal
ERR2027917,animal
ERR2027918,animal
ERR2027919,animal
ERR2027920,animal
ERR2027921,animal
ERR2027922,animal
ERR2027923,animal
ERR2027924,animal
ERR2027925,animal
ERR2027926,animal
ERR2027927,animal
ERR2027928,animal
ERR2027929,animal
ERR2027930,animal
ERR2282092,animal
SRR10103340,animal
SRR10103341,animal
SRR10103342,animal
SRR10103343,animal
SRR10111995,animal
SRR10111996,animal
SRR10127609,animal
SRR10127610,animal
SRR10127611,animal
SRR10127612,animal
SRR10127613,animal
SRR10127614,animal
SRR10127615,animal
SRR10127616,animal
SRR10127617,animal
SRR10127618,animal
SRR10127619,animal
SRR10127620,animal
SRR10127621,animal
SRR10127622,animal
SRR10127623,animal
SRR10127624,animal
SRR10127625,animal
SRR10127626,animal
SRR10127627,animal
SRR10127628,animal
SRR10127629,animal
SRR10127630,animal
SRR10127631,animal
SRR10127632,animal
SRR10127633,animal
SRR10127634,animal
SRR10127635,animal
SRR10127636,animal
SRR10127637,animal
SRR10127638,animal
SRR10127639,animal
SRR10127640,animal
SRR12180935,animal
SRR12180936,animal
SRR12180937,animal
SRR12180938,animal
SRR12180939,animal
SRR12180940,animal
SRR12180941,animal
SRR12180942,animal
SRR12180943,animal
SRR12180944,animal
SRR12180945,animal
SRR12180946,animal
SRR12180947,animal
SRR12180948,animal
SRR12180949,animal
SRR12180950,animal
SRR12180951,animal
SRR12180952,animal
SRR12180953,animal
SRR12180954,animal
SRR12180955,animal
SRR12180956,animal
SRR12180957,animal
SRR12180958,animal
SRR12180959,animal
SRR12180960,animal
SRR12180961,animal
SRR12180962,animal
SRR12180963,animal
SRR12180964,animal
SRR12180965,animal
SRR12180966,animal
SRR12180967,animal
SRR12180968,animal
SRR12180969,animal
SRR12180970,animal
SRR12180971,animal
SRR12180972,animal
SRR12180973,animal
SRR12180974,animal
SRR12180975,animal
SRR12180976,animal
SRR12180977,animal
SRR12180978,animal
SRR12180979,animal
SRR12180980,animal
SRR12180981,animal
SRR12180982,animal
SRR12180983,animal
SRR12180984,animal
SRR12180985,animal
SRR12180986,animal
SRR12180987,animal
SRR12180988,animal
SRR12180989,animal
SRR12180990,animal
SRR12180991,animal
SRR12180992,animal
SRR12180993,animal
SRR12180994,animal
