,phylum
p__Actinomycetota,p__Actinomycetota
p__Bacillota,p__Bacillota
p__Bacillota_A,p__Bacillota_A
p__Bacillota_C,p__Bacillota_C
p__Bacteroidota,p__Bacteroidota
p__Pseudomonadota,p__Pseudomonadota
p__Desulfobacterota,p__Desulfobacterota
p__Verrucomicrobiota,p__Verrucomicrobiota
p__Methanobacteriota,p__Methanobacteriota
p__Fusobacteriota,p__Fusobacteriota
p__Acidobacteriota,p__Acidobacteriota
p__Eisenbacteria,p__Eisenbacteria
p__Thermoproteota,p__Thermoproteota
p__Gemmatimonadota,p__Gemmatimonadota
p__Desulfobacterota_B,p__Desulfobacterota_B
p__Nitrospirota,p__Nitrospirota
p__Desulfobacterota_E,p__Desulfobacterota_E
p__Chloroflexota,p__Chloroflexota
p__Eremiobacterota,p__Eremiobacterota
p__Planctomycetota,p__Planctomycetota
p__Myxococcota,p__Myxococcota
p__Deinococcota,p__Deinococcota
p__Campylobacterota,p__Campylobacterota
p__Spirochaetota,p__Spirochaetota
p__Cyanobacteriota,p__Cyanobacteriota
p__Deferribacterota,p__Deferribacterota
p__Halobacteriota,p__Halobacteriota
p__Dormibacterota,p__Dormibacterota
p__Goldbacteria,p__Goldbacteria
p__Firmicutes,p__Firmicutes
p__Proteobacteria,p__Proteobacteria
p__Actinobacteriota,p__Actinobacteriota
p__Firmicutes_A,p__Firmicutes_A
p__Firmicutes_C,p__Firmicutes_C
p__Synergistota,p__Synergistota
p__Coprothermobacterota,p__Coprothermobacterota
p__Hydrogenedentota,p__Hydrogenedentota
p__4484-113,p__4484-113
p__UBA1439,p__UBA1439
p__Cloacimonadota,p__Cloacimonadota
p__Moduliflexota,p__Moduliflexota
p__Caldisericota,p__Caldisericota
p__Bacillota_B,p__Bacillota_B
p__Bacillota_G,p__Bacillota_G
p__Elusimicrobiota,p__Elusimicrobiota
p__Thermotogota,p__Thermotogota
p__Fibrobacterota,p__Fibrobacterota
p__Thermoplasmatota,p__Thermoplasmatota
p__Sumerlaeota,p__Sumerlaeota
p__Desulfobacterota_I,p__Desulfobacterota_I
p__Marinisomatota,p__Marinisomatota
p__Nitrospinota,p__Nitrospinota
p__Desulfobacterota_F,p__Desulfobacterota_F
p__Asgardarchaeota,p__Asgardarchaeota
p__SAR324,p__SAR324
p__Bdellovibrionota,p__Bdellovibrionota
p__Krumholzibacteriota,p__Krumholzibacteriota
p__Patescibacteria,p__Patescibacteria
p__Chlamydiota,p__Chlamydiota
p__Delongbacteria,p__Delongbacteria
p__Omnitrophota,p__Omnitrophota
p__JAHJDO01,p__JAHJDO01
p__Micrarchaeota,p__Micrarchaeota
p__Armatimonadota,p__Armatimonadota
p__Iainarchaeota,p__Iainarchaeota
p__Edwardsbacteria,p__Edwardsbacteria
p__Bacillota_E,p__Bacillota_E
p__JABMQX01,p__JABMQX01
p__Latescibacterota,p__Latescibacterota
p__Zixibacteria,p__Zixibacteria
p__Atribacterota,p__Atribacterota
p__Bacillota_F,p__Bacillota_F
p__Methanobacteriota_B,p__Methanobacteriota_B
p__Bacillota_H,p__Bacillota_H
p__DTU030,p__DTU030
p__UBP6,p__UBP6
p__Poribacteria,p__Poribacteria
p__Methylomirabilota,p__Methylomirabilota
p__Myxococcota_A,p__Myxococcota_A
p__Bacillota_D,p__Bacillota_D
p__CSP1-3,p__CSP1-3
p__JABDJQ01,p__JABDJQ01
p__VGIX01,p__VGIX01
p__WOR-3,p__WOR-3
p__AABM5-125-24,p__AABM5-125-24
p__KSB1,p__KSB1
p__Cyanobacteria,p__Cyanobacteria
p__FCPU426,p__FCPU426
p__TA06_A,p__TA06_A
p__UBA8248,p__UBA8248
