Bin,p
CRR282907,p__Actinomycetota
CRR282908,p__Acidobacteriota
CRR282911,p__Eisenbacteria
CRR282912,p__Actinomycetota
CRR282912,p__Pseudomonadota
CRR282918,p__Acidobacteriota
CRR282918,p__Gemmatimonadota
CRR282927,p__Acidobacteriota
CRR282931,p__Gemmatimonadota
CRR282931,p__Gemmatimonadota
CRR282931,p__Actinomycetota
CRR282931,p__Acidobacteriota
CRR282932,p__Acidobacteriota
CRR282935,p__Gemmatimonadota
CRR282935,p__Gemmatimonadota
CRR282943,p__Acidobacteriota
CRR282946,p__Actinomycetota
CRR282948,p__Thermoproteota
CRR282950,p__Gemmatimonadota
CRR282952,p__Acidobacteriota
CRR282953,p__Verrucomicrobiota
CRR282955,p__Actinomycetota
CRR282963,p__Verrucomicrobiota
CRR282963,p__Actinomycetota
CRR282963,p__Gemmatimonadota
CRR282966,p__Desulfobacterota_B
CRR282967,p__Pseudomonadota
CRR282970,p__Actinomycetota
CRR282971,p__Gemmatimonadota
CRR282971,p__Verrucomicrobiota
CRR282979,p__Acidobacteriota
CRR282980,p__Acidobacteriota
CRR282980,p__Gemmatimonadota
CRR282980,p__Gemmatimonadota
CRR282980,p__Verrucomicrobiota
CRR282980,p__Actinomycetota
CRR282982,p__Pseudomonadota
CRR282982,p__Acidobacteriota
CRR282984,p__Nitrospirota
CRR282992,p__Actinomycetota
CRR282993,p__Pseudomonadota
CRR282993,p__Verrucomicrobiota
CRR282993,p__Gemmatimonadota
CRR282993,p__Pseudomonadota
CRR282997,p__Gemmatimonadota
CRR282997,p__Acidobacteriota
CRR282997,p__Actinomycetota
CRR282997,p__Gemmatimonadota
CRR282998,p__Thermoproteota
CRR282999,p__Desulfobacterota_E
CRR283000,p__Acidobacteriota
CRR283004,p__Acidobacteriota
CRR283009,p__Actinomycetota
CRR283009,p__Actinomycetota
CRR283009,p__Planctomycetota
CRR283009,p__Acidobacteriota
CRR283009,p__Pseudomonadota
CRR283009,p__Acidobacteriota
CRR283009,p__Chloroflexota
CRR283009,p__Actinomycetota
CRR283009,p__Planctomycetota
CRR283009,p__Chloroflexota
CRR283009,p__Eremiobacterota
CRR283009,p__Gemmatimonadota
CRR283009,p__Nitrospirota
CRR283009,p__Actinomycetota
CRR283009,p__Actinomycetota
CRR283010,p__Gemmatimonadota
CRR283010,p__Acidobacteriota
CRR283010,p__Actinomycetota
CRR283010,p__Gemmatimonadota
CRR283017,p__Eisenbacteria
CRR283022,p__Myxococcota
CRR283022,p__Acidobacteriota
CRR283032,p__Planctomycetota
CRR283032,p__Chloroflexota
