Category,Bin,Completeness,Contamination,GC_content,N50,N_contigs,Size,Classification,p,c,o,f,g,s,Annotated.at.the.species.level
Animal,SRR15023597_bin.8,96.15,1.538,0.28,447978,8,540655,d__Bacteria,p__Bacillota,c__Bacilli,o__Mycoplasmatales,f__Mycoplasmoidaceae,g__RUG11194,s__RUG11194 sp017448105,Yes
Clinical,SRR14355430_bin.22,98.07,1.153,0.284,410735,4,554803,d__Bacteria,p__Bacillota,c__Bacilli,o__Mycoplasmatales,f__Mycoplasmoidaceae,g__Ureaplasma,s__Ureaplasma sp900544585,Yes
Animal,SRR15023577_bin.21,98.84,0.109,0.275,147230,15,585128,d__Bacteria,p__Bacillota,c__Bacilli,o__Mycoplasmatales,f__Mycoplasmoidaceae,g__Malacoplasma_A,s__Malacoplasma_A sp902800015,Yes
Animal,SRR17230214_bin.42,96.92,1.923,0.25,53996,15,585151,d__Bacteria,p__Bacillota,c__Bacilli,o__Mycoplasmatales,f__Mycoplasmoidaceae,g__Ureaplasma,s__Ureaplasma sp910589685,Yes
Environment,ERR1051325_bin.6,92.16,0,0.224,103232,21,637366,d__Bacteria,p__Bacillota,c__Bacilli,o__Mycoplasmatales,f__Hepatoplasmataceae,g__Hepatoplasma,s__Hepatoplasma crinochetorum_B,Yes
Animal,CRR657460_bin.14,98.84,1.923,0.279,248107,9,652501,d__Bacteria,p__Bacillota,c__Bacilli,o__Mycoplasmatales,f__Mycoplasmoidaceae,g__MGBC110633,s__,No
Animal,CRR537893_bin.1,90.1,1.253,0.399,90352,45,663269,d__Bacteria,p__Bacillota,c__Bacilli,o__Mycoplasmatales,f__Metamycoplasmataceae,g__,s__,No
Clinical,SRR5405675_bin.2,100,0.375,0.269,160872,14,665851,d__Bacteria,p__Firmicutes,c__Bacilli,o__Mycoplasmatales,f__Metamycoplasmataceae,g__Metamycoplasma,s__Metamycoplasma hominis,Yes
Clinical,SRR3726351_bin.1,99.04,0.142,0.253,173465,7,720326,d__Bacteria,p__Firmicutes,c__Bacilli,o__Mycoplasmatales,f__Mycoplasmoidaceae,g__Ureaplasma,s__Ureaplasma parvum,Yes
Environment,ERR2592338_bin.11,91.01,2.247,0.403,7106,130,742418,d__Bacteria,p__Bacillota,c__Bacilli,o__RFN20,f__CAG-826,g__JAAYDH01,s__JAAYDH01 sp012729405,Yes
Animal,CRR537304_bin.2,100,0.384,0.282,42526,31,746759,d__Bacteria,p__Bacillota,c__Bacilli,o__Mycoplasmatales,f__Mycoplasmoidaceae,g__Ureaplasma,s__,No
Animal,CRR537888_bin.3,98.15,0,0.289,202205,13,766772,d__Bacteria,p__Bacillota,c__Bacilli,o__Mycoplasmatales,f__Metamycoplasmataceae,g__Mesomycoplasma,s__Mesomycoplasma flocculare,Yes
Animal,SRR29449908_bin.54,90.44,4.494,0.33,8784,193,833183,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__UBA1242,g__CALWPI01,s__CALWPI01 sp944383385,Yes
Animal,CRR537423_bin.1,99.27,1.449,0.285,121654,18,838085,d__Bacteria,p__Bacillota,c__Bacilli,o__Mycoplasmatales,f__Metamycoplasmataceae,g__Mesomycoplasma,s__Mesomycoplasma hyopneumoniae,Yes
Animal,SRR29449920_bin.39,90.33,2.808,0.343,89301,149,843996,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__UBA1242,g__Caccovivens,s__Caccovivens sp944350115,Yes
Animal,CRR537892_bin.3,99.27,0,0.294,45726,35,855059,d__Bacteria,p__Bacillota,c__Bacilli,o__Mycoplasmatales,f__Metamycoplasmataceae,g__Mesomycoplasma,s__,No
Animal,SRR29757234_bin.56,90.89,0.561,0.344,94561,123,859880,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__UBA1242,g__Caccovivens,s__,No
Animal,CRR537693_bin.2,100,0,0.257,54961,33,865361,d__Bacteria,p__Bacillota,c__Bacilli,o__Mycoplasmatales,f__Metamycoplasmataceae,g__Mesomycoplasma,s__Mesomycoplasma hyorhinis,Yes
Animal,SRR29472733_bin.47,91.57,1.123,0.371,25369,70,889034,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__UBA1242,g__UMGS687,s__UMGS687 sp944380415,Yes
Environment,ERR2592338_bin.10,96.62,2.247,0.376,22530,65,909172,d__Bacteria,p__Bacillota,c__Bacilli,o__RFN20,f__CAG-826,g__,s__,No
Clinical,ERR4283414_bin.20,91.57,0,0.35,217161,5,918759,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__UBA1242,g__UMGS687,s__UMGS687 sp900544595,Yes
Clinical,SRR14355331_bin.5,93.21,2.444,0.301,21990,77,920129,d__Bacteria,p__Bacillota,c__Bacilli,o__Mycoplasmatales,f__UBA3375,g__UBA3375,s__,No
Animal,SRR29757208_bin.55,90.33,1.685,0.337,110609,53,932889,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__UBA1242,g__Caccovivens,s__Caccovivens sp944350225,Yes
Environment,SRR21524782_bin.15,96.06,1.685,0.378,15085,101,940143,d__Bacteria,p__Bacillota,c__Bacilli,o__RFN20,f__CAG-826,g__UBA970,s__,No
Environment,SRR9924785_bin.54,91.56,2.409,0.294,10783,142,953098,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Pelagibacterales,f__Pelagibacteraceae,g__Fonsibacter,s__Fonsibacter ubiquis,Yes
Clinical,ERR4283452_bin.19,92.69,0,0.413,284662,5,962530,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__UBA1242,g__HGM11372,s__HGM11372 sp900767715,Yes
Animal,SRR15023584_bin.50,93.63,2.528,0.366,80025,32,979309,d__Bacteria,p__Bacillota,c__Bacilli,o__RFN20,f__CAG-826,g__UBA3207,s__,No
Clinical,ERR4283271_bin.47,93.82,2.407,0.242,268303,15,985638,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAG-611,s__CAG-611 sp000434175,Yes
Environment,SRR8404394_bin.32,97.15,1.658,0.341,41941,42,989585,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rickettsiales,f__Rickettsiaceae,g__GCA-2402195,s__,No
Environment,SRR25018382_bin.24,91.87,4,0.256,34064,76,990908,d__Bacteria,p__Bacillota,c__Bacilli,o__Mycoplasmatales,f__UBA3375,g__,s__,No
Animal,SRR12180936_bin.6,90.96,1.145,0.331,77399,23,1005248,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Apilactobacillus,s__Apilactobacillus bombintestini,Yes
Clinical,ERR4283187_bin.27,94.94,3.531,0.244,84033,23,1006129,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAG-611,s__CAG-611 sp900552235,Yes
