Bin,Completeness,Contamination,GC_content,N50,N_contigs,Size,Classification
CRR282907_bin.2,94.54,3.891,0.72,11852,436,3284698,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Angustibacteraceae;g__JACMOY01;s__
CRR282908_bin.2,95.18,2.67,0.575,17125,528,5832092,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__Sulfotelmatobacter;s__
CRR282911_bin.1,94.56,3.296,0.698,9990,433,3126878,d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__SZUA-252;f__SZUA-252;g__SZUA-252;s__
CRR282912_bin.3,95.25,2.331,0.705,29460,181,3832908,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__
CRR282912_bin.4,90.02,1.804,0.667,20097,199,2717598,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__66-474;s__
CRR282917_bin.1,94.66,3.883,0.348,9525,312,1994017,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TA-21;s__TA-21 sp014523525
CRR282918_bin.13,91.44,2.991,0.576,17402,529,5495933,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__Sulfotelmatobacter;s__
CRR282918_bin.4,95.34,2.747,0.669,23979,229,4145520,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__JADGGM01;s__
CRR282919_bin.3,96.1,1.957,0.635,18557,671,9495455,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp011516635
CRR282926_bin.3,90.76,2.819,0.644,11740,255,2160272,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__Methyloceanibacter;s__Methyloceanibacter sp002383105
CRR282927_bin.1,92.08,1.709,0.575,12849,595,5627693,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__Sulfotelmatobacter;s__
CRR282931_bin.1,93.14,2.197,0.67,26348,231,4133374,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__JADGGM01;s__
CRR282931_bin.11,94.87,1.098,0.665,26728,232,3758079,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__JADGGM01;s__
CRR282931_bin.12,94.61,2.241,0.721,13688,414,4092060,d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__;g__;s__
CRR282931_bin.7,91.78,0.854,0.608,19209,335,4332597,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__JAMXLI01;s__
CRR282932_bin.2,95.48,2.243,0.577,20007,443,5430075,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__Sulfotelmatobacter;s__
CRR282935_bin.5,93.12,3.883,0.379,5849,287,1304911,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotalea;s__Nitrosotalea sp022545805
CRR282935_bin.6,92.71,3.946,0.666,22913,315,4521846,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__JADGGM01;s__
CRR282935_bin.7,90.35,4.624,0.665,3951,"1,072",3790063,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__JADGGM01;s__
CRR282939_bin.1,91.42,1.194,0.646,19809,477,6908722,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp011516635
CRR282939_bin.4,98.05,4.854,0.345,12134,255,1979299,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TA-21;s__TA-21 sp014523525
CRR282941_bin.9,97.57,1.941,0.344,19639,180,1926355,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TA-21;s__TA-21 sp014523495
CRR282943_bin.5,90.85,2.777,0.598,12697,298,2838098,d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__UBA2199;f__UBA2199;g__UBA2199;s__
CRR282944_bin.1,97.57,2.912,0.349,27921,155,2307896,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TA-21;s__TA-21 sp014523525
CRR282944_bin.2,92.05,2.291,0.637,16864,714,8859932,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp011516635
CRR282946_bin.2,97.48,1.813,0.706,35338,195,3906271,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__
CRR282948_bin.5,95.63,3.398,0.358,9804,296,2003331,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TA-21;s__
CRR282950_bin.2,96.44,3.296,0.708,24880,212,3808765,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__JACDDX01;s__
CRR282952_bin.1,96.17,1.709,0.583,17992,460,4937942,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__JAIQEU01;s__
CRR282953_bin.6,91.75,2.096,0.591,19201,267,3078324,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__;s__
CRR282955_bin.2,93.8,4.671,0.721,7697,537,3153089,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Angustibacteraceae;g__JACMOY01;s__
CRR282959_bin.1,97.93,2.265,0.35,7700,380,2205817,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TA-21;s__TA-21 sp014523525
CRR282963_bin.12,91.08,4.729,0.591,18336,264,3036748,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__;s__
CRR282963_bin.6,98.39,1.165,0.708,39297,197,4032960,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__JABFXA01;s__
CRR282963_bin.8,94.78,2.197,0.669,16577,341,4216116,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__JADGGM01;s__
CRR282966_bin.6,96.21,4.193,0.561,16719,496,6375322,d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__DP-20;s__
CRR282967_bin.1,90.33,4.372,0.674,7920,671,4116145,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__SCGC-AG-212-J23;s__
