Bin,Completeness,Contamination,GC_content,N50,N_contigs,Size,Classification
CRR537225_bin.2,99.03,0.724,0.284,29081,58,848729,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma hyopneumoniae
CRR537226_bin.1,92.68,3.093,0.66,4493,"1,364",4823739,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_B;s__Pseudomonas_B oryzihabitans
CRR537227_bin.3,100,0.384,0.281,28140,43,738087,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537229_bin.6,98.97,0.384,0.282,17895,67,755131,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537232_bin.1,92.41,4.397,0.655,5745,410,1817125,d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Thermaceae;g__Thermus;s__Thermus scotoductus
CRR537233_bin.1,97.79,0,0.29,47086,42,751731,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma flocculare
CRR537233_bin.3,100,0.384,0.311,32734,89,861676,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537233_bin.4,99.27,0,0.284,33240,47,836201,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma hyopneumoniae
CRR537233_bin.5,99.73,0.729,0.47,86012,111,2942443,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Alteromonadaceae;g__Idiomarina;s__Idiomarina abyssalis
CRR537233_bin.6,97.74,0.907,0.47,29496,119,2542134,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Alteromonadaceae;g__Idiomarina;s__Idiomarina zobellii
CRR537234_bin.1,100,0.384,0.281,32733,38,749534,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537234_bin.2,99.27,0,0.285,87308,19,846384,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma hyopneumoniae
CRR537236_bin.1,99.27,0.724,0.285,24021,53,815884,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma hyopneumoniae
CRR537237_bin.1,100,0.384,0.342,29106,109,967613,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537237_bin.2,98.18,0.603,0.284,18347,88,848340,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma hyopneumoniae
CRR537239_bin.2,100,0.384,0.282,23004,52,736818,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537239_bin.4,93.47,0.031,0.292,8116,153,783983,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma hyopneumoniae
CRR537240_bin.1,100,0.384,0.281,34991,31,731473,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537240_bin.3,99.27,0,0.31,48927,73,953442,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma hyopneumoniae
CRR537241_bin.1,97.03,0.362,0.286,9862,126,808217,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma hyopneumoniae
CRR537241_bin.3,100,0.384,0.319,29540,89,884043,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537242_bin.1,100,0.384,0.282,37337,39,756327,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537243_bin.2,100,0.384,0.281,35046,36,751507,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537243_bin.3,99.27,0,0.285,22296,71,823902,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma hyopneumoniae
CRR537244_bin.1,99.27,0,0.309,56479,65,966758,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma hyopneumoniae
CRR537244_bin.3,98.84,0.451,0.283,6554,150,704047,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537245_bin.1,100,0.384,0.281,33236,34,743423,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537245_bin.3,99.27,0,0.301,87075,61,963931,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma hyopneumoniae
CRR537246_bin.1,100,0.384,0.319,32733,91,865543,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537247_bin.1,99.27,0,0.287,39515,35,844532,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma hyopneumoniae
CRR537247_bin.3,100,0.724,0.258,38533,39,816128,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma hyorhinis
CRR537249_bin.2,99.27,0.362,0.286,22200,73,850398,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma hyopneumoniae
CRR537251_bin.2,100,0.384,0.281,28108,44,746890,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537253_bin.1,100,0.384,0.342,26883,124,986048,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537257_bin.1,100,0.384,0.281,37627,33,747856,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537257_bin.3,99.27,0,0.285,41338,36,874305,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma hyopneumoniae
CRR537258_bin.1,99.27,0,0.298,84373,53,933413,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma hyopneumoniae
CRR537258_bin.2,100,0.384,0.281,37271,33,744219,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537259_bin.2,100,0,0.257,40878,32,814551,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma hyorhinis
CRR537259_bin.3,99.27,0.797,0.288,12036,127,804684,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma hyopneumoniae
CRR537260_bin.2,98.18,0,0.286,24102,54,812862,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma hyopneumoniae
CRR537260_bin.3,98.55,0.724,0.302,13136,127,910140,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma hyorhinis
CRR537262_bin.2,99.27,0,0.285,29132,49,831686,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma hyopneumoniae
CRR537263_bin.1,100,0.384,0.281,32733,37,743996,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537264_bin.1,100,0.384,0.281,22274,50,742195,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537265_bin.1,100,0.384,0.281,32867,34,742986,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537271_bin.2,99.27,0,0.328,63260,82,1006768,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma hyopneumoniae
CRR537273_bin.1,99.27,0,0.286,54637,50,889409,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma hyopneumoniae
CRR537274_bin.1,99.27,0,0.33,39018,105,1037134,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma hyopneumoniae
CRR537274_bin.3,94.2,3.359,0.432,4271,"1,016",3317762,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii
CRR537276_bin.1,100,0.384,0.281,30107,34,734612,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537276_bin.2,98.91,0,0.287,13197,94,836949,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma hyopneumoniae
CRR537277_bin.1,100,0.384,0.282,30504,43,764737,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
CRR537277_bin.3,99.27,0,0.327,64094,103,1040412,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma;s__Mesomycoplasma hyopneumoniae
CRR537278_bin.1,98.3,4.307,0.675,8800,506,2607375,d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Thermaceae;g__Thermus;s__
CRR537278_bin.2,91.61,0.803,0.371,12600,175,1444213,d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Salinicoccaceae;g__Jeotgalicoccus_A;s__Jeotgalicoccus_A schoeneichii
CRR537278_bin.3,95.33,2.009,0.415,17272,266,3205624,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii
CRR537278_bin.5,98.13,2.471,0.423,16142,271,2465568,d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Anoxybacillaceae;g__Anoxybacillus;s__Anoxybacillus flavithermus_G
CRR537280_bin.2,100,0.384,0.281,30756,39,733593,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__
