Bin,Completeness,Contamination,GC_content,N50,N_contigs,Size,Classification
CRR656999_bin.1,95.11,1.264,0.518,91508,60,3620941,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp011959105
CRR656999_bin.11,90.68,0.566,0.526,14681,194,1975467,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA3263;s__UBA3263 sp001689615
CRR656999_bin.14,96.64,0,0.553,42435,91,2398606,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus sp000403395
CRR656999_bin.19,95.68,2.02,0.518,95830,63,3752402,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp003612485
CRR656999_bin.2,98.31,0.281,0.513,58509,92,3463461,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia sp910577925
CRR656999_bin.20,94.08,0.537,0.514,81151,45,2366658,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter sp910578985
CRR656999_bin.21,93.15,0.335,0.586,14150,264,2563285,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA866;s__UBA866 sp022791945
CRR656999_bin.24,99.47,0,0.4,28420,110,2237141,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus murinus
CRR656999_bin.25,94.83,2.027,0.615,9642,313,2307290,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio sp910575755
CRR656999_bin.26,92.56,2.038,0.618,22343,153,2514561,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp910579435
CRR656999_bin.29,98.3,4.654,0.51,75916,49,2556822,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp001689485
CRR656999_bin.32,95.91,1.257,0.553,24049,130,2175251,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp002490635
CRR656999_bin.34,96.42,0.476,0.486,109031,46,2788355,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp910585445
CRR656999_bin.38,97.27,4.075,0.45,72011,94,3733983,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Kineothrix;s__Kineothrix sp000403275
CRR656999_bin.39,95.28,2.695,0.527,103288,46,2541110,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__
CRR656999_bin.40,95.11,0.287,0.487,138881,47,2648174,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__1XD42-69;s__
CRR656999_bin.42,91.98,0.471,0.286,27302,134,2384066,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Thomasclavelia;s__Thomasclavelia cocleata
CRR656999_bin.44,95.56,0,0.336,106424,30,1673744,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__UBA3700;g__MGBC100798;s__MGBC100798 sp910584975
CRR656999_bin.46,99.82,0.353,0.368,33733,91,1680607,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_D;s__Helicobacter_D ganmani
CRR656999_bin.47,96.3,0,0.604,30813,121,2533477,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NSJ-51;s__NSJ-51 sp910585415
CRR656999_bin.49,94.13,2.542,0.54,76989,116,5540605,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp910585615
CRR656999_bin.5,93.62,2.147,0.596,51367,72,2512015,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__Angelakisella sp013316495
CRR656999_bin.51,96.44,0,0.432,58758,97,2376218,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Mailhella;s__Mailhella sp003512875
CRR656999_bin.54,99.58,0.757,0.359,103601,49,1734300,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_C;s__Helicobacter_C hepaticus
