Category	Bin	Completeness	Contamination	GC_content	N50	N_contigs	Size	Classification	p	c	o	f	g	s	Annotated.at.the.species.level
Clinical	ERR525714_bin.14	99.65	0.883	0.586	66512	85	2318369	d__Bacteria	others	c__Actinomycetia	o__Actinomycetales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium breve	Yes
Clinical	SRR13077677_bin.25	93.82	2.25	25.46	305028	9	1139464	d__Bacteria	others	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Adlercreutzia	s__Adlercreutzia equolifaciens	Yes
Clinical	ERR1995233_bin.2	95.97	0	0.329	14867	193	1991679	d__Bacteria	others	c__Actinomycetia	o__Actinomycetales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium longum	Yes
Clinical	SRR13077744_bin.14	100	0	50.3	33244	97	2055299	d__Bacteria	others	c__Actinomycetia	o__Actinomycetales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium sp002742445	Yes
Clinical	SRR12442174_bin.14	99.24	0	43.16	145879	27	2302164	d__Bacteria	others	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Adlercreutzia	s__Adlercreutzia equolifaciens	Yes
Clinical	SRR12442171_bin.2	98.72	2.84	29.47	103791	60	2525189	d__Bacteria	others	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Eggerthella	s__Eggerthella lenta	Yes
Clinical	SRR13077751_bin.9	97.43	2.44	53.78	119617	48	3167283	d__Bacteria	others	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Eggerthella	s__Eggerthella lenta	Yes
Environment	SRR13727527_bin.191	90.74	3.703	0.528	14724	296	3259576	d__Bacteria	others	c__UBA5829	o__UBA5829	f__	g__	s__	No
Environment	SRR18577028_metabat2_bin.34	90.05	3.55	58.13	11841	422	3461981	d__Bacteria	others	c__BOG-944	o__Capsulimonadales	f__Capsulimonadaceae	g__	s__	No
Environment	SRR18576995_metabat2_bin.35	92.76	1.85	50.08	11211	500	4295379	d__Bacteria	others	c__Chthonomonadetes	o__Chthonomonadales	f__	g__	s__	No
Environment	SRR18577028_metabat2_bin.62	96.3	0	65.22	12970	526	4704739	d__Bacteria	others	c__BOG-944	o__Capsulimonadales	f__Capsulimonadaceae	g__	s__	No
Environment	SRR18577028_vamb_S1C3925	90.74	1.85	56.49	14438	481	4962204	d__Bacteria	others	c__Chthonomonadetes	o__Chthonomonadales	f__Chthonomonadaceae	g__	s__	No
Environment	SRR21778118_bin.27	95.37	0.925	0.65	25852	334	5257806	d__Bacteria	others	c__Chthonomonadetes	o__Chthonomonadales	f__Chthonomonadaceae	g__	s__	No
Environment	SRR13727527_bin.194	92.59	1.851	0.59	30357	244	5299140	d__Bacteria	others	c__UBA5829	o__UBA5829	f__	g__	s__	No
Animal	SRR15023597_bin.8	96.15	1.538	0.28	447978	8	540655	d__Bacteria	p__Bacillota	c__Bacilli	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__RUG11194	s__RUG11194 sp017448105	Yes
Clinical	SRR14355430_bin.22	98.07	1.153	0.284	410735	4	554803	d__Bacteria	p__Bacillota	c__Bacilli	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Ureaplasma	s__Ureaplasma sp900544585	Yes
Animal	SRR17230214_bin.42	96.92	1.923	0.25	53996	15	585151	d__Bacteria	p__Bacillota	c__Bacilli	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Ureaplasma	s__Ureaplasma sp910589685	Yes
Environment	ERR1051325_bin.6	92.16	0	0.224	103232	21	637366	d__Bacteria	p__Bacillota	c__Bacilli	o__Mycoplasmatales	f__Hepatoplasmataceae	g__Hepatoplasma	s__Hepatoplasma crinochetorum_B	Yes
Animal	CRR537893_bin.1	90.1	1.253	0.399	90352	45	663269	d__Bacteria	p__Bacillota	c__Bacilli	o__Mycoplasmatales	f__Metamycoplasmataceae	g__	s__	No
Animal	CRR537304_bin.2	100	0.384	0.282	42526	31	746759	d__Bacteria	p__Bacillota	c__Bacilli	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Ureaplasma	s__	No
Animal	CRR537888_bin.3	98.15	0	0.289	202205	13	766772	d__Bacteria	p__Bacillota	c__Bacilli	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mesomycoplasma	s__Mesomycoplasma flocculare	Yes
Animal	CRR537423_bin.1	99.27	1.449	0.285	121654	18	838085	d__Bacteria	p__Bacillota	c__Bacilli	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mesomycoplasma	s__Mesomycoplasma hyopneumoniae	Yes
Animal	CRR537892_bin.3	99.27	0	0.294	45726	35	855059	d__Bacteria	p__Bacillota	c__Bacilli	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mesomycoplasma	s__	No
Animal	CRR537693_bin.2	100	0	0.257	54961	33	865361	d__Bacteria	p__Bacillota	c__Bacilli	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mesomycoplasma	s__Mesomycoplasma hyorhinis	Yes
Environment	ERR2592338_bin.10	96.62	2.247	0.376	22530	65	909172	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__	s__	No
Clinical	SRR14355331_bin.5	93.21	2.444	0.301	21990	77	920129	d__Bacteria	p__Bacillota	c__Bacilli	o__Mycoplasmatales	f__UBA3375	g__UBA3375	s__	No
Environment	SRR21524782_bin.15	96.06	1.685	0.378	15085	101	940143	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__UBA970	s__	No
Animal	SRR15023584_bin.50	93.63	2.528	0.366	80025	32	979309	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__UBA3207	s__	No
Animal	SRR12180936_bin.6	90.96	1.145	0.331	77399	23	1005248	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Apilactobacillus	s__Apilactobacillus bombintestini	Yes
